chr	start	end	patient_7	patient_70	patient_71	patient_72	patient_73	patient_74	patient_75	patient_76	patient_77	patient_78	patient_79	patient_8	patient_80	patient_81	patient_82	patient_83	patient_84	patient_85	patient_86	patient_87
chr14	24765663	24765664	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24765792	24765793	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24767932	24767933	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24768016	24768017	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24768674	24768675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr14	24768696	24768697	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr14	24768711	24768712	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
chr14	24768720	24768721	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
chr14	24768725	24768726	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
chr14	24768735	24768736	6	3	4	2	4	3	5	2	7	7	16	2	4	3	10	5	2	4	4	0
chr14	24768737	24768738	9	6	5	2	4	3	7	7	8	7	16	4	7	6	14	6	3	7	5	0
chr14	24768769	24768770	5	4	1	0	1	0	3	5	1	0	0	2	5	6	7	3	1	3	1	0
chr14	24768773	24768774	0	2	0	0	0	0	1	1	0	0	0	2	0	0	1	0	1	0	0	0
chr14	24768797	24768798	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
chr14	24768803	24768804	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
chr14	24768822	24768823	10	6	4	2	4	3	5	7	11	6	16	3	7	4	14	6	3	7	4	0
chr14	24768830	24768831	10	6	5	2	4	3	7	7	11	7	16	4	7	6	14	6	3	7	5	0
chr14	24768849	24768850	10	6	5	2	4	3	7	7	11	7	16	4	7	6	14	6	3	7	5	0
chr14	24768863	24768864	5	9	4	8	3	4	8	8	7	3	11	10	6	7	1	8	7	2	10	8
chr14	24768866	24768867	19	22	22	21	16	24	23	26	15	17	15	22	29	21	12	28	30	13	26	16
chr14	24768869	24768870	19	22	22	22	16	24	23	26	15	17	15	22	29	21	12	28	31	13	26	16
chr14	24768909	24768910	5	8	6	9	8	6	15	12	10	5	5	6	9	10	6	9	15	1	7	15
chr14	24768914	24768915	8	13	2	16	8	10	6	8	4	4	11	13	6	5	12	14	7	8	7	9
chr14	24768966	24768967	14	21	6	23	13	9	14	24	9	5	14	19	14	11	20	27	10	10	9	11
chr14	24768976	24768977	16	24	7	26	19	15	19	27	12	10	19	27	19	16	30	28	16	18	15	14
chr14	24768981	24768982	16	24	7	25	19	15	19	27	12	10	19	26	19	16	30	28	16	18	15	14
chr14	24769004	24769005	6	10	5	10	9	5	10	15	6	6	8	13	11	8	15	11	8	8	7	5
chr14	24769017	24769018	14	14	14	16	7	8	10	12	14	17	14	19	5	27	9	17	17	12	9	12
chr14	24769020	24769021	25	23	19	25	20	10	20	26	35	30	20	23	10	44	17	42	28	21	16	20
chr14	24769022	24769023	25	24	19	25	20	10	21	26	36	30	20	23	10	44	18	42	28	21	16	20
chr14	24769033	24769034	25	24	19	25	20	10	21	26	36	30	20	23	10	44	18	42	28	21	16	20
chr14	24769044	24769045	25	23	19	25	19	10	21	25	36	30	20	23	10	44	18	42	28	21	16	20
chr14	24769053	24769054	14	13	11	12	12	4	13	15	28	18	10	7	5	24	9	27	16	9	7	12
chr14	24769055	24769056	8	6	2	6	11	2	3	10	16	7	4	1	1	7	6	13	8	7	2	6
chr14	24769059	24769060	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24769061	24769062	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24769098	24769099	18	16	11	19	11	7	14	16	28	20	14	21	8	33	14	30	17	15	12	14
chr14	24769101	24769102	25	24	19	25	19	10	21	26	34	30	20	23	10	44	17	42	28	21	16	20
chr14	24769104	24769105	25	24	19	25	20	10	20	26	34	30	20	23	10	44	18	42	28	21	16	20
chr14	24769112	24769113	25	24	19	25	20	10	21	26	34	30	20	23	10	44	18	42	28	21	16	20
chr14	24769116	24769117	25	24	19	25	20	10	21	26	34	30	20	23	10	44	18	42	28	21	16	20
chr14	24769149	24769150	25	20	24	22	19	25	19	36	23	25	11	27	20	32	25	28	19	16	20	25
chr14	24769151	24769152	44	38	33	41	24	33	33	49	38	39	22	39	38	45	36	39	34	22	29	44
chr14	24769174	24769175	49	43	36	45	28	37	37	54	40	43	24	42	44	51	39	40	35	25	31	46
chr14	24769176	24769177	49	43	36	45	28	37	37	53	40	43	24	42	42	51	39	40	35	25	31	46
chr14	24769197	24769198	14	14	18	11	3	6	14	10	5	13	8	2	15	20	6	7	11	5	10	9
chr14	24769221	24769222	13	16	21	29	18	14	21	25	34	26	23	29	22	17	8	21	26	19	15	32
chr14	24769227	24769228	13	16	21	29	18	14	20	25	34	25	23	29	22	17	8	21	26	19	16	32
chr14	24769229	24769230	13	16	21	29	18	14	21	25	34	26	23	29	21	17	8	21	26	19	16	32
chr14	24769243	24769244	13	16	21	22	17	12	20	23	32	24	16	26	21	17	6	20	25	19	15	29
chr14	24769248	24769249	11	16	16	23	16	14	20	23	34	23	19	27	20	15	8	20	25	16	16	31
chr14	24769263	24769264	13	16	21	29	17	13	21	25	34	26	23	29	22	17	8	21	26	19	16	32
chr14	24769269	24769270	13	16	21	29	18	14	21	25	34	26	23	29	22	17	8	21	26	19	16	32
chr14	24769282	24769283	3	6	9	7	4	5	6	10	15	9	6	10	4	9	5	6	10	5	6	6
chr14	24769296	24769297	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr14	24769300	24769301	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr14	24769306	24769307	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr14	24769318	24769319	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr14	24769324	24769325	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr14	24769522	24769523	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24769529	24769530	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24775825	24775826	1	2	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	2	4	0
chr14	24776556	24776557	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
chr14	24776596	24776597	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
chr14	24776629	24776630	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0
chr14	24776647	24776648	1	1	1	7	5	0	1	0	0	1	1	2	1	1	0	0	2	0	1	0
chr14	24776656	24776657	1	1	1	7	5	0	1	0	0	1	1	2	1	1	0	0	2	0	1	0
chr14	24777422	24777423	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr14	24779926	24779927	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24779928	24779929	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24779959	24779960	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24779962	24779963	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24780040	24780041	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24780046	24780047	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24780064	24780065	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24780071	24780072	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24780074	24780075	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24780077	24780078	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24780079	24780080	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24780094	24780095	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24780097	24780098	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24780133	24780134	26	28	14	32	32	28	45	47	41	34	36	37	38	23	25	30	35	36	39	24
chr14	24780145	24780146	26	28	14	32	32	28	45	47	40	34	36	37	38	23	25	30	35	36	39	24
chr14	24780157	24780158	26	28	14	32	32	28	45	47	41	34	36	37	38	23	25	30	35	36	38	24
chr14	24780167	24780168	26	28	14	32	32	29	44	47	41	34	36	37	38	23	25	30	35	34	39	24
chr14	24780173	24780174	26	28	14	32	32	29	45	47	41	34	36	37	38	23	25	30	35	36	39	24
chr14	24780175	24780176	26	28	14	32	32	29	45	47	41	34	36	37	38	23	25	30	34	36	39	24
chr14	24780188	24780189	26	28	14	32	32	29	45	47	41	34	36	37	38	23	25	30	35	36	39	24
chr14	24780194	24780195	26	28	14	32	32	29	45	47	41	34	36	37	38	23	25	30	35	36	39	24
chr14	24780225	24780226	30	37	32	31	35	28	30	45	55	33	35	51	40	28	27	40	27	29	32	43
chr14	24780233	24780234	30	37	32	31	35	26	31	45	56	34	35	51	40	28	27	40	27	30	32	43
chr14	24780243	24780244	30	37	31	31	35	28	31	45	55	34	35	51	40	28	27	40	27	30	32	43
chr14	24780256	24780257	30	37	32	30	35	28	31	45	56	34	35	50	40	28	27	39	27	30	32	43
chr14	24780261	24780262	29	37	32	30	35	28	31	45	56	34	35	51	40	28	27	39	27	30	32	43
chr14	24780267	24780268	19	13	15	12	16	7	18	15	24	13	18	20	21	15	12	17	12	13	12	17
chr14	24780285	24780286	47	45	29	36	28	24	37	40	28	39	37	37	21	39	31	23	37	40	36	42
chr14	24780288	24780289	51	48	28	41	28	28	36	42	30	39	39	39	23	41	34	24	38	41	36	46
chr14	24780301	24780302	51	48	29	41	28	28	37	42	30	39	39	39	23	41	34	25	38	42	36	46
chr14	24780314	24780315	51	48	29	41	28	28	37	42	30	39	38	39	23	40	33	25	38	42	36	46
chr14	24780326	24780327	29	23	19	15	11	12	10	20	23	18	19	12	9	16	18	14	13	14	17	26
chr14	24780329	24780330	29	23	19	15	11	12	10	20	23	18	19	12	9	16	18	14	13	14	17	26
chr14	24780338	24780339	9	10	7	11	15	14	13	33	23	11	10	18	15	11	19	15	11	23	19	29
chr14	24780341	24780342	14	16	10	12	18	15	16	36	24	14	11	21	21	13	23	18	14	25	23	31
chr14	24780348	24780349	23	32	25	25	32	31	40	64	59	35	26	41	35	25	51	40	36	49	30	59
chr14	24780366	24780367	23	32	25	26	32	31	40	64	59	35	26	41	35	25	51	40	36	49	30	59
chr14	24780368	24780369	23	32	25	26	32	31	40	64	59	35	26	41	35	24	51	40	36	49	30	59
chr14	24780388	24780389	9	16	15	14	14	16	24	28	35	21	15	20	14	12	28	22	22	24	7	25
chr14	24780391	24780392	2	5	10	9	7	8	14	17	21	4	9	4	4	4	16	6	16	12	5	13
chr14	24780401	24780402	13	9	8	6	7	9	5	15	5	15	8	13	9	13	15	9	15	7	6	9
chr14	24780404	24780405	18	16	13	10	9	14	14	19	13	23	15	18	11	17	23	23	25	11	9	15
chr14	24780407	24780408	29	20	14	18	19	18	18	25	15	33	22	25	23	23	30	32	39	17	12	22
chr14	24780434	24780435	27	19	11	17	16	16	16	23	17	31	21	22	20	20	30	31	35	16	11	21
chr14	24780440	24780441	15	11	4	9	10	9	10	10	11	15	11	10	13	9	13	19	16	9	5	11
chr14	24780452	24780453	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
chr14	24780476	24780477	29	19	13	17	19	18	18	25	17	33	22	25	23	23	30	32	39	17	12	22
chr14	24780481	24780482	29	20	14	18	19	18	18	25	17	33	22	25	22	23	30	32	39	17	12	22
chr14	24780489	24780490	29	20	14	18	19	18	18	25	17	33	22	25	23	23	30	32	39	17	12	22
chr14	24780495	24780496	29	20	14	18	18	18	18	25	17	33	22	25	22	23	30	32	39	17	10	22
chr14	24780500	24780501	29	20	14	18	19	18	18	25	17	33	22	25	23	23	30	32	39	16	12	22
chr14	24780504	24780505	29	17	12	17	19	18	17	25	17	29	19	21	23	23	25	29	31	17	12	19
chr14	24780519	24780520	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
chr14	24780524	24780525	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
chr14	24780529	24780530	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0
chr14	24780531	24780532	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0
chr14	24780540	24780541	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0
chr14	24780551	24780552	30	18	11	27	16	19	35	23	31	27	28	17	20	34	28	32	37	20	29	19
chr14	24780557	24780558	32	19	11	28	19	21	35	25	35	29	29	20	20	34	31	33	39	20	32	20
chr14	24780569	24780570	31	19	11	28	19	21	35	25	35	29	29	20	20	33	31	33	39	20	32	20
chr14	24780593	24780594	17	15	7	21	18	18	29	24	28	21	19	18	13	23	22	29	27	13	23	17
chr14	24780613	24780614	32	19	11	27	20	21	36	25	35	29	29	20	20	34	31	34	39	20	32	20
chr14	24780617	24780618	32	19	11	28	20	21	36	25	35	29	29	20	20	34	31	34	39	20	32	20
chr14	24780622	24780623	32	18	11	28	20	21	36	25	35	29	29	20	20	34	31	34	39	20	32	19
chr14	24780649	24780650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr14	24780659	24780660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr14	24780665	24780666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr14	24780673	24780674	25	24	18	19	15	22	25	32	17	19	14	37	20	24	17	26	18	17	15	26
chr14	24780676	24780677	51	38	36	42	34	47	37	53	32	34	29	51	31	51	30	43	38	35	31	49
chr14	24780678	24780679	57	39	38	46	37	50	42	53	34	34	29	56	38	51	31	44	42	38	33	50
chr14	24780682	24780683	56	39	38	46	37	50	42	53	34	34	29	56	38	49	31	43	42	38	33	50
chr14	24780691	24780692	57	39	38	46	37	50	42	53	34	34	29	56	38	50	31	44	42	38	33	50
chr14	24780716	24780717	32	15	20	27	22	28	17	21	17	14	15	19	18	27	14	18	24	20	18	24
chr14	24780724	24780725	0	0	1	1	0	3	0	3	2	0	1	0	3	0	2	0	0	0	2	0
chr14	24780734	24780735	0	1	4	5	2	3	3	9	4	1	5	3	5	0	5	1	3	3	4	2
chr14	24780743	24780744	0	1	4	5	2	3	3	9	4	1	5	3	5	0	5	1	3	3	4	2
chr14	24780762	24780763	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24780774	24780775	16	18	13	15	9	9	16	11	14	13	12	18	14	19	20	14	16	17	14	20
chr14	24780784	24780785	17	18	13	15	9	9	16	11	14	13	12	18	14	19	20	14	16	17	14	19
chr14	24780786	24780787	17	18	13	15	9	9	16	11	14	13	12	18	14	19	20	13	16	17	13	20
chr14	24780794	24780795	17	18	13	15	9	9	16	11	14	13	12	18	14	19	20	14	16	17	14	20
chr14	24780852	24780853	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr14	24780888	24780889	18	18	13	15	9	9	16	11	13	13	12	18	14	19	20	14	16	17	14	20
chr14	24780890	24780891	18	18	13	15	9	9	16	11	13	13	12	18	14	19	20	14	16	17	14	20
chr14	24784940	24784941	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
chr14	24785005	24785006	0	2	0	0	4	2	0	0	1	0	0	3	0	0	1	1	0	0	1	1
chr14	24785218	24785219	3	2	3	3	7	10	0	1	0	2	3	1	3	2	1	1	0	2	5	1
chr14	24785242	24785243	3	3	3	3	8	10	0	1	1	2	3	4	3	3	1	2	1	2	5	2
chr14	24785252	24785253	1	2	0	0	4	2	0	0	1	0	0	4	0	2	1	1	1	0	1	2
chr14	24785263	24785264	4	1	3	1	6	7	3	4	6	6	1	2	4	5	4	4	4	2	2	4
chr14	24785345	24785346	5	3	3	6	7	9	7	7	6	9	5	7	10	14	5	7	8	6	3	9
chr14	24785366	24785367	14	11	4	21	24	13	13	12	13	17	11	16	15	23	10	13	14	15	12	20
chr14	24785368	24785369	14	11	4	21	24	13	13	12	13	17	11	16	15	23	10	13	14	15	12	20
chr14	24785379	24785380	11	9	3	17	18	6	10	10	9	13	9	13	9	17	8	8	12	15	9	13
chr14	24785409	24785410	24	22	15	19	21	23	33	28	16	26	33	28	40	31	23	24	37	33	25	25
chr14	24785420	24785421	24	22	15	19	21	23	33	28	16	26	33	28	40	31	23	24	37	33	25	25
chr14	24785462	24785463	24	21	15	18	20	23	33	27	12	26	33	27	39	31	21	22	37	32	25	25
chr14	24785473	24785474	24	22	15	19	21	23	33	28	16	26	33	28	40	31	23	24	37	33	25	25
chr14	24785476	24785477	24	22	15	19	21	23	33	28	16	26	33	28	40	31	22	24	37	33	25	25
chr14	24785488	24785489	0	1	0	1	1	0	0	1	4	0	0	0	1	0	2	2	0	1	0	0
chr14	24785491	24785492	0	1	0	1	1	0	1	1	5	0	0	0	1	0	2	2	0	1	0	0
chr14	24785497	24785498	1	1	1	1	1	0	1	1	5	0	0	2	1	0	4	2	0	1	0	0
chr14	24785500	24785501	1	1	1	1	1	0	1	1	8	0	0	2	1	0	4	3	0	1	0	0
chr14	24785506	24785507	1	0	1	0	0	0	1	0	4	0	0	2	0	0	2	3	0	1	0	0
chr14	24785509	24785510	1	0	1	0	0	0	1	0	4	0	0	2	0	0	2	3	0	1	0	0
chr14	24785514	24785515	1	0	1	0	0	0	1	0	4	0	0	2	0	0	2	1	0	0	0	0
chr14	24785518	24785519	16	6	11	10	10	10	11	6	10	10	7	11	12	13	13	11	10	9	6	4
chr14	24785547	24785548	22	18	18	27	19	16	22	19	26	17	18	21	23	18	14	24	17	17	17	12
chr14	24785550	24785551	23	18	18	27	19	16	22	19	26	17	18	21	23	18	14	24	17	17	17	12
chr14	24785571	24785572	19	7	14	19	9	9	16	12	25	8	7	15	20	10	8	8	9	10	7	10
chr14	24785591	24785592	24	18	19	27	18	16	23	19	30	17	18	23	23	18	16	25	17	17	17	12
chr14	24785596	24785597	22	16	19	26	16	14	23	17	30	16	18	22	23	16	15	25	17	17	17	12
chr14	24785598	24785599	18	16	12	19	13	13	18	14	22	13	17	20	16	13	13	23	14	12	15	9
chr14	24785600	24785601	10	16	10	17	13	12	16	14	21	11	17	17	10	11	12	23	12	11	15	8
chr14	24785607	24785608	5	12	5	8	9	7	7	8	8	9	11	10	3	9	10	17	8	7	10	5
chr14	24785616	24785617	2	3	2	2	2	1	1	1	3	2	5	2	0	2	0	5	3	1	4	1
chr14	24785619	24785620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
chr14	24785631	24785632	20	21	23	19	16	16	23	13	9	18	17	19	21	30	16	28	29	17	12	18
chr14	24785641	24785642	19	21	23	19	16	16	23	13	9	18	17	19	21	30	16	28	29	17	12	18
chr14	24785656	24785657	20	21	23	19	16	16	23	13	9	18	17	19	21	30	16	28	28	17	12	18
chr14	24785661	24785662	15	12	14	6	4	6	9	9	5	11	9	11	12	24	11	13	22	11	6	11
chr14	24785676	24785677	4	5	6	9	7	4	10	2	4	5	6	6	4	3	4	8	8	5	2	3
chr14	24785694	24785695	20	21	23	19	17	16	23	13	9	18	17	19	21	30	16	28	29	17	12	18
chr14	24785703	24785704	20	21	23	19	17	16	23	13	9	18	17	19	20	30	16	28	29	17	12	18
chr14	24785712	24785713	12	13	14	8	5	9	10	9	5	11	11	12	13	20	11	15	18	11	7	13
chr14	24785714	24785715	12	9	11	3	4	5	9	8	4	8	9	10	9	20	9	11	18	8	5	11
chr14	24785718	24785719	8	2	4	1	0	2	5	1	1	6	5	2	2	15	8	3	6	5	1	8
chr14	24785724	24785725	3	4	0	6	1	5	6	1	1	5	0	10	1	5	5	5	2	3	2	9
chr14	24785727	24785728	6	14	2	9	2	9	11	3	2	7	5	14	4	7	6	5	4	9	2	11
chr14	24785737	24785738	14	22	8	15	8	12	20	6	3	15	9	19	8	12	7	12	7	22	3	15
chr14	24785741	24785742	14	22	8	15	8	12	20	6	3	15	9	19	8	12	7	12	7	22	3	15
chr14	24785744	24785745	14	22	8	15	8	12	20	6	3	15	9	19	8	12	7	12	7	22	3	15
chr14	24785748	24785749	14	22	8	15	8	12	20	6	3	15	9	19	8	12	7	12	7	22	3	15
chr14	24785757	24785758	14	22	8	15	8	12	20	6	3	15	9	19	8	12	7	12	7	22	3	15
chr14	24785760	24785761	14	22	8	15	8	12	20	6	3	15	9	19	8	12	7	12	7	22	3	14
chr14	24785829	24785830	13	22	8	15	8	12	20	6	3	15	9	19	8	12	7	12	7	22	3	15
chr14	24785838	24785839	14	22	8	15	8	12	20	6	3	15	9	19	8	12	7	12	7	22	3	15
chr14	24785844	24785845	14	22	8	15	8	12	20	6	3	15	9	19	8	12	7	12	7	22	3	15
chr14	24785847	24785848	14	22	8	15	8	12	20	6	3	15	9	19	8	12	7	12	7	22	3	15
chr14	24789739	24789740	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	24790499	24790500	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
chr14	24791310	24791311	15	13	13	16	22	14	14	6	12	12	16	16	12	15	12	8	6	19	17	13
chr14	24791325	24791326	7	7	5	6	8	7	5	1	8	6	8	8	3	7	6	4	3	11	6	2
chr14	24791414	24791415	15	13	13	16	22	14	14	6	12	12	16	16	12	15	12	8	6	19	17	13
chr14	24793719	24793720	11	12	14	5	9	8	10	1	1	12	7	2	5	15	9	10	9	8	9	4
chr14	24793995	24793996	8	6	3	3	5	2	13	4	2	7	13	2	6	7	5	3	1	4	2	12
chr14	24794012	24794013	0	0	0	1	0	0	1	0	0	1	0	1	3	3	1	1	1	0	0	0
chr14	24794034	24794035	1	0	0	1	1	0	1	0	0	1	2	1	3	4	1	1	1	0	0	0
chr14	24794054	24794055	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
chr14	24794189	24794190	1	0	1	1	1	1	1	1	0	2	1	1	3	4	1	1	1	0	0	0
chr14	24794205	24794206	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
